#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
2971,DEL CEP,000-BCQ-471,2459432.01926,4.2785,0.0019,False,Johnson V,CCD,WGR,1.230,False
2972,DEL CEP,000-BCQ-471,2459432.019365,4.2101,0.0020,False,Johnson V,CCD,WGR,1.231,False
2973,DEL CEP,000-BCQ-471,2459432.019469,4.2288,0.0019,False,Johnson V,CCD,WGR,1.231,False
2974,DEL CEP,000-BCQ-471,2459432.019584,4.2901,0.0019,False,Johnson V,CCD,WGR,1.231,False
2975,DEL CEP,000-BCQ-471,2459432.019689,4.2781,0.0019,False,Johnson V,CCD,WGR,1.232,False
2976,DEL CEP,000-BCQ-471,2459432.019793,4.2663,0.0020,False,Johnson V,CCD,WGR,1.232,False
2977,DEL CEP,000-BCQ-471,2459432.019897,4.2661,0.0020,False,Johnson V,CCD,WGR,1.232,False
2978,DEL CEP,000-BCQ-471,2459432.020001,4.2312,0.0021,False,Johnson V,CCD,WGR,1.232,False
2979,DEL CEP,000-BCQ-471,2459432.020105,4.2985,0.0019,False,Johnson V,CCD,WGR,1.233,False
2980,DEL CEP,000-BCQ-471,2459432.994087,4.3578,0.0009,False,Johnson V,CCD,WGR,1.175,False
2981,DEL CEP,000-BCQ-471,2459432.994179,4.3875,0.0009,False,Johnson V,CCD,WGR,1.176,False
2982,DEL CEP,000-BCQ-471,2459432.994284,4.4112,0.0009,False,Johnson V,CCD,WGR,1.176,False
2983,DEL CEP,000-BCQ-471,2459432.994388,4.3190,0.0010,False,Johnson V,CCD,WGR,1.176,False
2984,DEL CEP,000-BCQ-471,2459432.994492,4.4109,0.0009,False,Johnson V,CCD,WGR,1.176,False
2985,DEL CEP,000-BCQ-471,2459432.994596,4.3389,0.0009,False,Johnson V,CCD,WGR,1.177,False
2986,DEL CEP,000-BCQ-471,2459432.9947,4.3525,0.0009,False,Johnson V,CCD,WGR,1.177,False
2987,DEL CEP,000-BCQ-471,2459432.994793,4.3643,0.0009,False,Johnson V,CCD,WGR,1.177,False
2988,DEL CEP,000-BCQ-471,2459432.994909,4.3981,0.0009,False,Johnson V,CCD,WGR,1.177,False
2989,DEL CEP,000-BCQ-471,2459432.995013,4.4023,0.0009,False,Johnson V,CCD,WGR,1.177,False
2990,DEL CEP,000-BCQ-471,2459432.995117,4.3850,0.0009,False,Johnson V,CCD,WGR,1.178,False
2991,DEL CEP,000-BCQ-471,2459432.995221,4.2871,0.0009,False,Johnson V,CCD,WGR,1.178,False
2992,DEL CEP,000-BCQ-471,2459432.995337,4.3775,0.0009,False,Johnson V,CCD,WGR,1.178,False
2993,DEL CEP,000-BCQ-471,2459432.995441,4.3727,0.0009,False,Johnson V,CCD,WGR,1.178,False
2994,DEL CEP,000-BCQ-471,2459432.995545,4.4553,0.0009,False,Johnson V,CCD,WGR,1.179,False
2995,DEL CEP,000-BCQ-471,2459432.995661,4.3918,0.0009,False,Johnson V,CCD,WGR,1.179,False
2996,DEL CEP,000-BCQ-471,2459432.995777,4.3789,0.0009,False,Johnson V,CCD,WGR,1.179,False
2997,DEL CEP,000-BCQ-471,2459432.995881,4.3888,0.0009,False,Johnson V,CCD,WGR,1.179,False
2998,DEL CEP,000-BCQ-471,2459432.995997,4.3081,0.0009,False,Johnson V,CCD,WGR,1.180,False
2999,DEL CEP,000-BCQ-471,2459432.996101,4.3772,0.0009,False,Johnson V,CCD,WGR,1.180,False
3000,DEL CEP,000-BCQ-471,2459432.996205,4.4105,0.0009,False,Johnson V,CCD,WGR,1.180,False
3001,DEL CEP,000-BCQ-471,2459432.996309,4.3922,0.0009,False,Johnson V,CCD,WGR,1.180,False
3002,DEL CEP,000-BCQ-471,2459432.996425,4.4028,0.0008,False,Johnson V,CCD,WGR,1.181,False
3003,DEL CEP,000-BCQ-471,2459432.996529,4.4051,0.0009,False,Johnson V,CCD,WGR,1.181,False
3004,DEL CEP,000-BCQ-471,2459432.996645,4.3564,0.0009,False,Johnson V,CCD,WGR,1.181,False
3005,DEL CEP,000-BCQ-471,2459433.99514,4.2104,0.0011,False,Johnson V,CCD,WGR,1.184,False
3006,DEL CEP,000-BCQ-471,2459433.995267,4.1829,0.0012,False,Johnson V,CCD,WGR,1.184,False
3007,DEL CEP,000-BCQ-471,2459433.995418,4.2384,0.0012,False,Johnson V,CCD,WGR,1.185,False
3008,DEL CEP,000-BCQ-471,2459433.995545,4.2008,0.0012,False,Johnson V,CCD,WGR,1.185,False
3009,DEL CEP,000-BCQ-471,2459433.995695,4.1496,0.0012,False,Johnson V,CCD,WGR,1.185,False
3010,DEL CEP,000-BCQ-471,2459433.995834,4.1858,0.0012,False,Johnson V,CCD,WGR,1.186,False
3011,DEL CEP,000-BCQ-471,2459433.995973,4.1903,0.0012,False,Johnson V,CCD,WGR,1.186,False
3012,DEL CEP,000-BCQ-471,2459433.9961,4.2121,0.0011,False,Johnson V,CCD,WGR,1.186,False
3013,DEL CEP,000-BCQ-471,2459433.996251,4.2125,0.0012,False,Johnson V,CCD,WGR,1.186,False
3014,DEL CEP,000-BCQ-471,2459433.996367,4.1839,0.0012,False,Johnson V,CCD,WGR,1.187,False
3015,DEL CEP,000-BCQ-471,2459433.996529,4.3255,0.0012,False,Johnson V,CCD,WGR,1.187,False
3016,DEL CEP,000-BCQ-471,2459433.996679,4.1918,0.0012,False,Johnson V,CCD,WGR,1.187,False
3017,DEL CEP,000-BCQ-471,2459433.996806,4.1929,0.0012,False,Johnson V,CCD,WGR,1.188,False
3018,DEL CEP,000-BCQ-471,2459433.996957,4.2386,0.0011,False,Johnson V,CCD,WGR,1.188,False
3019,DEL CEP,000-BCQ-471,2459433.997096,4.2580,0.0012,False,Johnson V,CCD,WGR,1.188,False
3020,DEL CEP,000-BCQ-471,2459433.997246,4.2673,0.0012,False,Johnson V,CCD,WGR,1.189,False
3021,DEL CEP,000-BCQ-471,2459433.997385,4.2162,0.0012,False,Johnson V,CCD,WGR,1.189,False
3022,DEL CEP,000-BCQ-471,2459433.997536,4.3071,0.0012,False,Johnson V,CCD,WGR,1.189,False
3023,DEL CEP,000-BCQ-471,2459433.997663,4.1925,0.0012,False,Johnson V,CCD,WGR,1.190,False
3024,DEL CEP,000-BCQ-471,2459433.997802,4.2513,0.0012,False,Johnson V,CCD,WGR,1.190,False
3025,DEL CEP,000-BCQ-471,2459433.997952,4.2011,0.0012,False,Johnson V,CCD,WGR,1.190,False
3026,DEL CEP,000-BCQ-471,2459433.998103,4.2460,0.0011,False,Johnson V,CCD,WGR,1.191,False
3027,DEL CEP,000-BCQ-471,2459433.99823,4.1961,0.0011,False,Johnson V,CCD,WGR,1.191,False
3028,DEL CEP,000-BCQ-471,2459433.998369,4.1782,0.0012,False,Johnson V,CCD,WGR,1.191,False
3029,DEL CEP,000-BCQ-471,2459433.998531,4.2434,0.0012,False,Johnson V,CCD,WGR,1.192,False
3030,DEL CEP,000-BCQ-471,2459434.893183,3.5302,0.0025,False,Johnson V,CCD,WGR,1.075,False
3031,DEL CEP,000-BCQ-471,2459434.893276,3.5169,0.0025,False,Johnson V,CCD,WGR,1.075,False
3032,DEL CEP,000-BCQ-471,2459434.893369,3.5013,0.0024,False,Johnson V,CCD,WGR,1.075,False
3033,DEL CEP,000-BCQ-471,2459434.893473,3.4858,0.0025,False,Johnson V,CCD,WGR,1.075,False
3034,DEL CEP,000-BCQ-471,2459434.893577,3.4796,0.0025,False,Johnson V,CCD,WGR,1.075,False
3035,DEL CEP,000-BCQ-471,2459434.893681,3.5357,0.0025,False,Johnson V,CCD,WGR,1.075,False
3036,DEL CEP,000-BCQ-471,2459434.893785,3.5268,0.0023,False,Johnson V,CCD,WGR,1.075,False
3037,DEL CEP,000-BCQ-471,2459434.893878,3.5862,0.0025,False,Johnson V,CCD,WGR,1.075,False
3038,DEL CEP,000-BCQ-471,2459434.893982,3.5261,0.0024,False,Johnson V,CCD,WGR,1.075,False
3039,DEL CEP,000-BCQ-471,2459434.894086,3.4751,0.0024,False,Johnson V,CCD,WGR,1.075,False
3040,DEL CEP,000-BCQ-471,2459434.894179,3.5379,0.0024,False,Johnson V,CCD,WGR,1.075,False
3041,DEL CEP,000-BCQ-471,2459434.894283,3.5460,0.0026,False,Johnson V,CCD,WGR,1.075,False
3042,DEL CEP,000-BCQ-471,2459434.894399,3.5460,0.0025,False,Johnson V,CCD,WGR,1.075,False
3043,DEL CEP,000-BCQ-471,2459434.894514,3.5810,0.0023,False,Johnson V,CCD,WGR,1.075,False
3044,DEL CEP,000-BCQ-471,2459434.894607,3.5505,0.0025,False,Johnson V,CCD,WGR,1.075,False
3045,DEL CEP,000-BCQ-471,2459434.894711,3.5318,0.0024,False,Johnson V,CCD,WGR,1.075,False
3046,DEL CEP,000-BCQ-471,2459434.894815,3.4970,0.0024,False,Johnson V,CCD,WGR,1.075,False
3047,DEL CEP,000-BCQ-471,2459434.894908,3.5519,0.0025,False,Johnson V,CCD,WGR,1.075,False
3048,DEL CEP,000-BCQ-471,2459434.895012,3.5302,0.0024,False,Johnson V,CCD,WGR,1.075,False
3049,DEL CEP,000-BCQ-471,2459434.895105,3.5620,0.0025,False,Johnson V,CCD,WGR,1.075,False
3050,DEL CEP,000-BCQ-471,2459434.895209,3.5129,0.0026,False,Johnson V,CCD,WGR,1.075,False
3051,DEL CEP,000-BCQ-471,2459434.895313,3.5601,0.0022,False,Johnson V,CCD,WGR,1.075,False
3052,DEL CEP,000-BCQ-471,2459434.895406,3.5619,0.0025,False,Johnson V,CCD,WGR,1.075,False
3053,DEL CEP,000-BCQ-471,2459434.89551,3.5384,0.0024,False,Johnson V,CCD,WGR,1.075,False
3054,DEL CEP,000-BCQ-471,2459434.895626,3.5068,0.0025,False,Johnson V,CCD,WGR,1.075,False
3055,DEL CEP,000-BCQ-471,2459435.009908,3.5285,0.0033,False,Johnson V,CCD,WGR,1.227,False
3056,DEL CEP,000-BCQ-471,2459435.010047,3.5099,0.0033,False,Johnson V,CCD,WGR,1.228,False
3057,DEL CEP,000-BCQ-471,2459435.010163,3.5573,0.0031,False,Johnson V,CCD,WGR,1.228,False
3058,DEL CEP,000-BCQ-471,2459435.01029,3.5298,0.0032,False,Johnson V,CCD,WGR,1.228,False
3059,DEL CEP,000-BCQ-471,2459435.010417,3.5550,0.0031,False,Johnson V,CCD,WGR,1.229,False
3060,DEL CEP,000-BCQ-471,2459435.010556,3.5539,0.0031,False,Johnson V,CCD,WGR,1.229,False
3061,DEL CEP,000-BCQ-471,2459435.010672,3.5763,0.0031,False,Johnson V,CCD,WGR,1.230,False
3062,DEL CEP,000-BCQ-471,2459435.010799,3.5619,0.0032,False,Johnson V,CCD,WGR,1.230,False
3063,DEL CEP,000-BCQ-471,2459435.010915,3.5150,0.0032,False,Johnson V,CCD,WGR,1.230,False
3064,DEL CEP,000-BCQ-471,2459435.011054,3.5544,0.0032,False,Johnson V,CCD,WGR,1.231,False
3065,DEL CEP,000-BCQ-471,2459435.01117,3.4590,0.0035,False,Johnson V,CCD,WGR,1.231,False
3066,DEL CEP,000-BCQ-471,2459435.011297,3.5234,0.0032,False,Johnson V,CCD,WGR,1.231,False
3067,DEL CEP,000-BCQ-471,2459435.011413,3.5526,0.0032,False,Johnson V,CCD,WGR,1.232,False
3068,DEL CEP,000-BCQ-471,2459435.011552,3.5289,0.0033,False,Johnson V,CCD,WGR,1.232,False
3069,DEL CEP,000-BCQ-471,2459435.011667,3.5444,0.0031,False,Johnson V,CCD,WGR,1.232,False
3070,DEL CEP,000-BCQ-471,2459435.011795,3.5507,0.0032,False,Johnson V,CCD,WGR,1.233,False
3071,DEL CEP,000-BCQ-471,2459435.011922,3.5192,0.0033,False,Johnson V,CCD,WGR,1.233,False
3072,DEL CEP,000-BCQ-471,2459435.012072,3.5878,0.0032,False,Johnson V,CCD,WGR,1.234,False
3073,DEL CEP,000-BCQ-471,2459435.012246,3.5843,0.0033,False,Johnson V,CCD,WGR,1.234,False
3074,DEL CEP,000-BCQ-471,2459435.012373,3.5575,0.0033,False,Johnson V,CCD,WGR,1.234,False
3075,DEL CEP,000-BCQ-471,2459435.012524,3.5435,0.0034,False,Johnson V,CCD,WGR,1.235,False
3076,DEL CEP,000-BCQ-471,2459435.012663,3.5824,0.0034,False,Johnson V,CCD,WGR,1.235,False
3077,DEL CEP,000-BCQ-471,2459435.012813,3.5800,0.0034,False,Johnson V,CCD,WGR,1.235,False
3078,DEL CEP,000-BCQ-471,2459435.01294,3.5423,0.0033,False,Johnson V,CCD,WGR,1.236,False
3079,DEL CEP,000-BCQ-471,2459435.013091,3.5466,0.0034,False,Johnson V,CCD,WGR,1.236,False
3080,DEL CEP,000-BCQ-471,2459435.912431,3.8244,0.0021,False,Johnson V,CCD,WGR,1.081,False
3081,DEL CEP,000-BCQ-471,2459435.912524,3.8162,0.0021,False,Johnson V,CCD,WGR,1.081,False
3082,DEL CEP,000-BCQ-471,2459435.912628,3.8761,0.0021,False,Johnson V,CCD,WGR,1.081,False
3083,DEL CEP,000-BCQ-471,2459435.912732,3.8233,0.0021,False,Johnson V,CCD,WGR,1.081,False
3084,DEL CEP,000-BCQ-471,2459435.912836,3.8029,0.0021,False,Johnson V,CCD,WGR,1.081,False
3085,DEL CEP,000-BCQ-471,2459435.91294,3.8544,0.0021,False,Johnson V,CCD,WGR,1.081,False
3086,DEL CEP,000-BCQ-471,2459435.913045,3.9119,0.0021,False,Johnson V,CCD,WGR,1.082,False
3087,DEL CEP,000-BCQ-471,2459435.913149,3.8527,0.0021,False,Johnson V,CCD,WGR,1.082,False
3088,DEL CEP,000-BCQ-471,2459435.913253,3.8612,0.0021,False,Johnson V,CCD,WGR,1.082,False
3089,DEL CEP,000-BCQ-471,2459435.913357,3.8362,0.0022,False,Johnson V,CCD,WGR,1.082,False
3090,DEL CEP,000-BCQ-471,2459435.913461,3.8311,0.0022,False,Johnson V,CCD,WGR,1.082,False
3091,DEL CEP,000-BCQ-471,2459435.913565,3.8859,0.0020,False,Johnson V,CCD,WGR,1.082,False
3092,DEL CEP,000-BCQ-471,2459435.91367,3.8366,0.0022,False,Johnson V,CCD,WGR,1.082,False
3093,DEL CEP,000-BCQ-471,2459435.913762,3.8287,0.0023,False,Johnson V,CCD,WGR,1.082,False
3094,DEL CEP,000-BCQ-471,2459435.913855,3.7960,0.0023,False,Johnson V,CCD,WGR,1.082,False
3095,DEL CEP,000-BCQ-471,2459435.913959,3.8746,0.0021,False,Johnson V,CCD,WGR,1.082,False
3096,DEL CEP,000-BCQ-471,2459435.914063,3.8086,0.0022,False,Johnson V,CCD,WGR,1.082,False
3097,DEL CEP,000-BCQ-471,2459435.914167,3.8059,0.0021,False,Johnson V,CCD,WGR,1.082,False
3098,DEL CEP,000-BCQ-471,2459435.914271,3.7861,0.0021,False,Johnson V,CCD,WGR,1.082,False
3099,DEL CEP,000-BCQ-471,2459435.914376,3.8121,0.0021,False,Johnson V,CCD,WGR,1.082,False
3100,DEL CEP,000-BCQ-471,2459435.914468,3.8644,0.0022,False,Johnson V,CCD,WGR,1.082,False
3101,DEL CEP,000-BCQ-471,2459435.914561,3.8575,0.0019,False,Johnson V,CCD,WGR,1.082,False
3102,DEL CEP,000-BCQ-471,2459435.914677,3.8306,0.0022,False,Johnson V,CCD,WGR,1.082,False
3103,DEL CEP,000-BCQ-471,2459435.914769,3.8084,0.0021,False,Johnson V,CCD,WGR,1.082,False
3104,DEL CEP,000-BCQ-471,2459435.914862,3.7423,0.0022,False,Johnson V,CCD,WGR,1.082,False
3105,DEL CEP,000-BCQ-471,2459435.981158,3.8128,0.0022,False,Johnson V,CCD,WGR,1.166,False
3106,DEL CEP,000-BCQ-471,2459435.981262,3.8233,0.0022,False,Johnson V,CCD,WGR,1.166,False
3107,DEL CEP,000-BCQ-471,2459435.981366,3.8527,0.0022,False,Johnson V,CCD,WGR,1.166,False
3108,DEL CEP,000-BCQ-471,2459435.98147,3.8584,0.0022,False,Johnson V,CCD,WGR,1.166,False
3109,DEL CEP,000-BCQ-471,2459435.981563,3.8008,0.0023,False,Johnson V,CCD,WGR,1.167,False
3110,DEL CEP,000-BCQ-471,2459435.981667,3.8740,0.0021,False,Johnson V,CCD,WGR,1.167,False
3111,DEL CEP,000-BCQ-471,2459435.981771,3.8435,0.0022,False,Johnson V,CCD,WGR,1.167,False
3112,DEL CEP,000-BCQ-471,2459435.981876,3.8451,0.0022,False,Johnson V,CCD,WGR,1.167,False
3113,DEL CEP,000-BCQ-471,2459435.98198,3.8666,0.0022,False,Johnson V,CCD,WGR,1.168,False
3114,DEL CEP,000-BCQ-471,2459435.982084,3.8204,0.0023,False,Johnson V,CCD,WGR,1.168,False
3115,DEL CEP,000-BCQ-471,2459435.982188,3.8226,0.0022,False,Johnson V,CCD,WGR,1.168,False
3116,DEL CEP,000-BCQ-471,2459435.982292,3.8340,0.0023,False,Johnson V,CCD,WGR,1.168,False
3117,DEL CEP,000-BCQ-471,2459435.982396,3.8461,0.0024,False,Johnson V,CCD,WGR,1.168,False
3118,DEL CEP,000-BCQ-471,2459435.982489,3.8663,0.0021,False,Johnson V,CCD,WGR,1.169,False
3119,DEL CEP,000-BCQ-471,2459435.982605,3.8378,0.0022,False,Johnson V,CCD,WGR,1.169,False
3120,DEL CEP,000-BCQ-471,2459435.982709,3.8374,0.0022,False,Johnson V,CCD,WGR,1.169,False
3121,DEL CEP,000-BCQ-471,2459435.982813,3.8804,0.0022,False,Johnson V,CCD,WGR,1.169,False
3122,DEL CEP,000-BCQ-471,2459435.982906,3.8392,0.0023,False,Johnson V,CCD,WGR,1.169,False
3123,DEL CEP,000-BCQ-471,2459435.98301,3.8600,0.0022,False,Johnson V,CCD,WGR,1.170,False
3124,DEL CEP,000-BCQ-471,2459435.983126,3.8180,0.0021,False,Johnson V,CCD,WGR,1.170,False
3125,DEL CEP,000-BCQ-471,2459435.98323,3.7814,0.0022,False,Johnson V,CCD,WGR,1.170,False
3126,DEL CEP,000-BCQ-471,2459435.983334,3.8797,0.0020,False,Johnson V,CCD,WGR,1.170,False
3127,DEL CEP,000-BCQ-471,2459435.983438,3.8339,0.0021,False,Johnson V,CCD,WGR,1.171,False
3128,DEL CEP,000-BCQ-471,2459435.983542,3.8692,0.0022,False,Johnson V,CCD,WGR,1.171,False
3129,DEL CEP,000-BCQ-471,2459435.983646,3.8500,0.0022,False,Johnson V,CCD,WGR,1.171,False
3130,DEL CEP,000-BCQ-471,2459435.987836,3.8168,0.0022,False,Johnson V,CCD,WGR,1.180,False
3131,DEL CEP,000-BCQ-471,2459435.98794,3.8286,0.0023,False,Johnson V,CCD,WGR,1.180,False
3132,DEL CEP,000-BCQ-471,2459435.988045,3.8807,0.0021,False,Johnson V,CCD,WGR,1.180,False
3133,DEL CEP,000-BCQ-471,2459435.988149,3.8866,0.0021,False,Johnson V,CCD,WGR,1.181,False
3134,DEL CEP,000-BCQ-471,2459435.988264,3.8669,0.0022,False,Johnson V,CCD,WGR,1.181,False
3135,DEL CEP,000-BCQ-471,2459435.98838,3.8621,0.0022,False,Johnson V,CCD,WGR,1.181,False
3136,DEL CEP,000-BCQ-471,2459435.988508,3.8278,0.0022,False,Johnson V,CCD,WGR,1.181,False
3137,DEL CEP,000-BCQ-471,2459435.988612,3.8604,0.0022,False,Johnson V,CCD,WGR,1.182,False
3138,DEL CEP,000-BCQ-471,2459435.988716,3.8685,0.0022,False,Johnson V,CCD,WGR,1.182,False
3139,DEL CEP,000-BCQ-471,2459435.988832,3.8499,0.0022,False,Johnson V,CCD,WGR,1.182,False
3140,DEL CEP,000-BCQ-471,2459435.988947,3.8673,0.0021,False,Johnson V,CCD,WGR,1.182,False
3141,DEL CEP,000-BCQ-471,2459435.989052,3.8482,0.0022,False,Johnson V,CCD,WGR,1.183,False
3142,DEL CEP,000-BCQ-471,2459435.989167,3.8621,0.0021,False,Johnson V,CCD,WGR,1.183,False
3143,DEL CEP,000-BCQ-471,2459435.989271,3.8265,0.0022,False,Johnson V,CCD,WGR,1.183,False
3144,DEL CEP,000-BCQ-471,2459435.989376,3.8433,0.0022,False,Johnson V,CCD,WGR,1.183,False
3145,DEL CEP,000-BCQ-471,2459435.989491,3.8447,0.0022,False,Johnson V,CCD,WGR,1.184,False
3146,DEL CEP,000-BCQ-471,2459435.989595,3.8458,0.0022,False,Johnson V,CCD,WGR,1.184,False
3147,DEL CEP,000-BCQ-471,2459435.9897,3.8686,0.0022,False,Johnson V,CCD,WGR,1.184,False
3148,DEL CEP,000-BCQ-471,2459435.989804,3.8236,0.0024,False,Johnson V,CCD,WGR,1.184,False
3149,DEL CEP,000-BCQ-471,2459435.989931,3.8757,0.0021,False,Johnson V,CCD,WGR,1.185,False
3150,DEL CEP,000-BCQ-471,2459435.990035,3.8527,0.0022,False,Johnson V,CCD,WGR,1.185,False
3151,DEL CEP,000-BCQ-471,2459435.990139,3.8790,0.0020,False,Johnson V,CCD,WGR,1.185,False
3152,DEL CEP,000-BCQ-471,2459435.990244,3.9203,0.0022,False,Johnson V,CCD,WGR,1.185,False
3153,DEL CEP,000-BCQ-471,2459435.990359,3.8651,0.0021,False,Johnson V,CCD,WGR,1.186,False
3154,DEL CEP,000-BCQ-471,2459435.990464,3.8578,0.0022,False,Johnson V,CCD,WGR,1.186,False
3155,DEL CEP,000-BCQ-471,2459435.99551,3.7611,0.0023,False,Johnson V,CCD,WGR,1.198,False
3156,DEL CEP,000-BCQ-471,2459435.995614,3.8562,0.0023,False,Johnson V,CCD,WGR,1.198,False
3157,DEL CEP,000-BCQ-471,2459435.995718,3.8591,0.0021,False,Johnson V,CCD,WGR,1.198,False
3158,DEL CEP,000-BCQ-471,2459435.995822,3.8408,0.0023,False,Johnson V,CCD,WGR,1.198,False
3159,DEL CEP,000-BCQ-471,2459435.995927,3.8875,0.0022,False,Johnson V,CCD,WGR,1.198,False
3160,DEL CEP,000-BCQ-471,2459435.996031,3.8451,0.0023,False,Johnson V,CCD,WGR,1.199,False
3161,DEL CEP,000-BCQ-471,2459435.996123,3.8710,0.0021,False,Johnson V,CCD,WGR,1.199,False
3162,DEL CEP,000-BCQ-471,2459435.996227,3.8869,0.0022,False,Johnson V,CCD,WGR,1.199,False
3163,DEL CEP,000-BCQ-471,2459435.996332,3.8369,0.0023,False,Johnson V,CCD,WGR,1.199,False
3164,DEL CEP,000-BCQ-471,2459435.996436,3.8530,0.0021,False,Johnson V,CCD,WGR,1.200,False
3165,DEL CEP,000-BCQ-471,2459435.99654,3.8895,0.0022,False,Johnson V,CCD,WGR,1.200,False
3166,DEL CEP,000-BCQ-471,2459435.996633,3.8627,0.0021,False,Johnson V,CCD,WGR,1.200,False
3167,DEL CEP,000-BCQ-471,2459435.996737,3.8719,0.0021,False,Johnson V,CCD,WGR,1.200,False
3168,DEL CEP,000-BCQ-471,2459435.996841,3.8959,0.0020,False,Johnson V,CCD,WGR,1.201,False
3169,DEL CEP,000-BCQ-471,2459435.996945,3.8755,0.0022,False,Johnson V,CCD,WGR,1.201,False
3170,DEL CEP,000-BCQ-471,2459435.997049,3.8291,0.0021,False,Johnson V,CCD,WGR,1.201,False
3171,DEL CEP,000-BCQ-471,2459435.997153,3.8573,0.0022,False,Johnson V,CCD,WGR,1.201,False
3172,DEL CEP,000-BCQ-471,2459435.997258,3.8887,0.0021,False,Johnson V,CCD,WGR,1.202,False
3173,DEL CEP,000-BCQ-471,2459435.997362,3.8349,0.0022,False,Johnson V,CCD,WGR,1.202,False
3174,DEL CEP,000-BCQ-471,2459435.997454,3.8370,0.0022,False,Johnson V,CCD,WGR,1.202,False
3175,DEL CEP,000-BCQ-471,2459435.997558,3.8762,0.0021,False,Johnson V,CCD,WGR,1.202,False
3176,DEL CEP,000-BCQ-471,2459435.997663,3.8853,0.0022,False,Johnson V,CCD,WGR,1.203,False
3177,DEL CEP,000-BCQ-471,2459435.997767,3.9181,0.0020,False,Johnson V,CCD,WGR,1.203,False
3178,DEL CEP,000-BCQ-471,2459435.997871,3.8952,0.0021,False,Johnson V,CCD,WGR,1.203,False
3179,DEL CEP,000-BCQ-471,2459435.997975,3.8941,0.0021,False,Johnson V,CCD,WGR,1.203,False
3180,DEL CEP,000-BCQ-471,2459436.845683,3.9597,0.0024,False,Johnson V,CCD,WGR,1.088,False
3181,DEL CEP,000-BCQ-471,2459436.845788,4.0615,0.0021,False,Johnson V,CCD,WGR,1.087,False
3182,DEL CEP,000-BCQ-471,2459436.845892,4.0115,0.0022,False,Johnson V,CCD,WGR,1.087,False
3183,DEL CEP,000-BCQ-471,2459436.845984,4.0389,0.0022,False,Johnson V,CCD,WGR,1.087,False
3184,DEL CEP,000-BCQ-471,2459436.846089,4.0010,0.0023,False,Johnson V,CCD,WGR,1.087,False
3185,DEL CEP,000-BCQ-471,2459436.846193,4.0493,0.0021,False,Johnson V,CCD,WGR,1.087,False
3186,DEL CEP,000-BCQ-471,2459436.846297,4.0551,0.0023,False,Johnson V,CCD,WGR,1.087,False
3187,DEL CEP,000-BCQ-471,2459436.846389,4.0312,0.0022,False,Johnson V,CCD,WGR,1.087,False
3188,DEL CEP,000-BCQ-471,2459436.846505,3.9894,0.0023,False,Johnson V,CCD,WGR,1.087,False
3189,DEL CEP,000-BCQ-471,2459436.846609,4.0692,0.0022,False,Johnson V,CCD,WGR,1.087,False
3190,DEL CEP,000-BCQ-471,2459436.846702,4.0644,0.0021,False,Johnson V,CCD,WGR,1.087,False
3191,DEL CEP,000-BCQ-471,2459436.846806,4.0449,0.0022,False,Johnson V,CCD,WGR,1.087,False
3192,DEL CEP,000-BCQ-471,2459436.84691,3.9783,0.0023,False,Johnson V,CCD,WGR,1.087,False
3193,DEL CEP,000-BCQ-471,2459436.847014,4.0251,0.0021,False,Johnson V,CCD,WGR,1.087,False
3194,DEL CEP,000-BCQ-471,2459436.847107,4.0220,0.0022,False,Johnson V,CCD,WGR,1.087,False
3195,DEL CEP,000-BCQ-471,2459436.847211,4.0385,0.0022,False,Johnson V,CCD,WGR,1.086,False
3196,DEL CEP,000-BCQ-471,2459436.847304,4.0472,0.0021,False,Johnson V,CCD,WGR,1.086,False
3197,DEL CEP,000-BCQ-471,2459436.847408,4.0616,0.0022,False,Johnson V,CCD,WGR,1.086,False
3198,DEL CEP,000-BCQ-471,2459436.847501,4.0522,0.0021,False,Johnson V,CCD,WGR,1.086,False
3199,DEL CEP,000-BCQ-471,2459436.847593,4.0374,0.0022,False,Johnson V,CCD,WGR,1.086,False
3200,DEL CEP,000-BCQ-471,2459436.847697,4.0431,0.0020,False,Johnson V,CCD,WGR,1.086,False
3201,DEL CEP,000-BCQ-471,2459436.84779,4.0495,0.0022,False,Johnson V,CCD,WGR,1.086,False
3202,DEL CEP,000-BCQ-471,2459436.847883,4.0288,0.0022,False,Johnson V,CCD,WGR,1.086,False
3203,DEL CEP,000-BCQ-471,2459436.847987,4.0628,0.0021,False,Johnson V,CCD,WGR,1.086,False
3204,DEL CEP,000-BCQ-471,2459436.848079,3.9829,0.0022,False,Johnson V,CCD,WGR,1.086,False
3205,DEL CEP,000-BCQ-471,2459437.005139,4.0462,0.0022,False,Johnson V,CCD,WGR,1.229,False
3206,DEL CEP,000-BCQ-471,2459437.005278,4.1311,0.0021,False,Johnson V,CCD,WGR,1.230,False
3207,DEL CEP,000-BCQ-471,2459437.005406,4.1523,0.0021,False,Johnson V,CCD,WGR,1.230,False
3208,DEL CEP,000-BCQ-471,2459437.005521,4.1005,0.0022,False,Johnson V,CCD,WGR,1.230,False
3209,DEL CEP,000-BCQ-471,2459437.00566,4.0944,0.0021,False,Johnson V,CCD,WGR,1.231,False
3210,DEL CEP,000-BCQ-471,2459437.005788,4.1171,0.0021,False,Johnson V,CCD,WGR,1.231,False
