#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
82,DEL CEP,000-BCQ-471,2455131.85971,3.011,0.082,False,Cousins I,CCD,HQA,1.000,True
83,DEL CEP,000-BCQ-471,2455131.85971,4.261,0.055,False,Johnson B,CCD,HQA,1.000,True
84,DELTA CEP,000-BCQ-471,2455135.349,4.20,0.11,False,Tri-Color Green,CCD,VOL,,False
85,DEL CEP,000-BCQ-471,2455135.63847,4.115,0.007,False,Johnson V,CCD,HQA,1.000,True
86,DEL CEP,000-BCQ-471,2455135.63847,4.857,0.023,False,Johnson B,CCD,HQA,1.000,True
87,DEL CEP,000-BCQ-471,2455135.63847,3.753,0.034,False,Cousins R,CCD,HQA,1.000,True
88,DEL CEP,000-BCQ-471,2455135.63847,3.310,0.046,False,Cousins I,CCD,HQA,1.000,True
89,DEL CEP,000-BCQ-471,2455135.67132,3.749,0.038,False,Cousins R,CCD,HQA,1.000,True
90,DEL CEP,000-BCQ-471,2455135.67132,4.802,0.044,False,Johnson B,CCD,HQA,1.000,True
91,DEL CEP,000-BCQ-471,2455135.67132,4.091,0.027,False,Johnson V,CCD,HQA,1.000,True
92,DEL CEP,000-BCQ-471,2455135.67132,3.276,0.041,False,Cousins I,CCD,HQA,1.000,True
93,DEL CEP,000-BCQ-471,2455135.70090,4.772,0.043,False,Johnson B,CCD,HQA,1.000,True
94,DEL CEP,000-BCQ-471,2455135.70090,3.264,0.062,False,Cousins I,CCD,HQA,1.000,True
95,DEL CEP,000-BCQ-471,2455135.70090,3.702,0.051,False,Cousins R,CCD,HQA,1.000,True
96,DEL CEP,000-BCQ-471,2455135.70090,4.068,0.022,False,Johnson V,CCD,HQA,1.000,True
97,DEL CEP,000-BCQ-471,2455135.75989,4.010,0.016,False,Johnson V,CCD,HQA,1.000,True
98,DEL CEP,000-BCQ-471,2455135.75989,4.677,0.027,False,Johnson B,CCD,HQA,1.000,True
99,DEL CEP,000-BCQ-471,2455135.75989,3.669,0.020,False,Cousins R,CCD,HQA,1.000,True
100,DEL CEP,000-BCQ-471,2455135.75989,3.220,0.034,False,Cousins I,CCD,HQA,1.000,True
101,DEL CEP,000-BCQ-471,2455135.83727,4.591,0.131,False,Johnson B,CCD,HQA,1.000,True
102,DEL CEP,000-BCQ-471,2455135.83727,3.157,0.122,False,Cousins I,CCD,HQA,1.000,True
103,DEL CEP,000-BCQ-471,2455135.83727,3.639,0.086,False,Cousins R,CCD,HQA,1.000,True
104,DEL CEP,000-BCQ-471,2455135.83727,3.962,0.083,False,Johnson V,CCD,HQA,1.000,True
105,DEL CEP,000-BCQ-471,2455136.263,3.28,0.03,False,Tri-Color Green,CCD,VOL,,False
106,DEL CEP,000-BCQ-471,2455139.71360,3.340,0.036,False,Cousins I,CCD,HQA,1.000,True
107,DEL CEP,000-BCQ-471,2455139.71360,3.840,0.033,False,Cousins R,CCD,HQA,1.000,True
108,DEL CEP,000-BCQ-471,2455139.71360,5.136,0.027,False,Johnson B,CCD,HQA,1.000,True
109,DEL CEP,000-BCQ-471,2455139.71360,4.268,0.017,False,Johnson V,CCD,HQA,1.000,True
110,DEL CEP,000-BCQ-471,2455140.65107,5.140,0.017,False,Johnson B,CCD,HQA,1.000,True
111,DEL CEP,000-BCQ-471,2455140.65107,3.893,0.017,False,Cousins R,CCD,HQA,1.000,True
112,DEL CEP,000-BCQ-471,2455140.65107,4.304,0.008,False,Johnson V,CCD,HQA,1.000,True
113,DEL CEP,000-BCQ-471,2455140.65107,3.407,0.028,False,Cousins I,CCD,HQA,1.000,True
114,DEL CEP,000-BCQ-471,2455140.69162,4.297,0.014,False,Johnson V,CCD,HQA,1.000,True
115,DEL CEP,000-BCQ-471,2455140.69162,3.414,0.027,False,Cousins I,CCD,HQA,1.000,True
116,DEL CEP,000-BCQ-471,2455140.69162,3.884,0.023,False,Cousins R,CCD,HQA,1.000,True
117,DEL CEP,000-BCQ-471,2455140.69162,5.130,0.023,False,Johnson B,CCD,HQA,1.000,True
118,DEL CEP,000-BCQ-471,2455140.84018,4.240,0.014,False,Johnson V,CCD,HQA,1.000,True
119,DEL CEP,000-BCQ-471,2455140.84018,3.364,0.026,False,Cousins I,CCD,HQA,1.000,True
120,DEL CEP,000-BCQ-471,2455140.84018,5.017,0.021,False,Johnson B,CCD,HQA,1.000,True
121,DEL CEP,000-BCQ-471,2455140.84018,3.858,0.023,False,Cousins R,CCD,HQA,1.000,True
122,DEL CEP,000-BCQ-471,2455141.61957,3.566,0.021,False,Johnson V,CCD,HQA,1.000,True
123,DEL CEP,000-BCQ-471,2455141.61957,4.043,0.042,False,Johnson B,CCD,HQA,1.000,True
124,DEL CEP,000-BCQ-471,2455141.61957,3.368,0.038,False,Cousins R,CCD,HQA,1.000,True
125,DEL CEP,000-BCQ-471,2455141.61957,2.924,0.048,False,Cousins I,CCD,HQA,1.000,True
126,DEL CEP,000-BCQ-471,2455141.64844,3.550,0.017,False,Johnson V,CCD,HQA,1.000,True
127,DEL CEP,000-BCQ-471,2455141.64844,4.009,0.023,False,Johnson B,CCD,HQA,1.000,True
128,DEL CEP,000-BCQ-471,2455141.64844,3.366,0.033,False,Cousins R,CCD,HQA,1.000,True
129,DEL CEP,000-BCQ-471,2455141.64844,2.924,0.040,False,Cousins I,CCD,HQA,1.000,True
130,DEL CEP,000-BCQ-471,2455141.68998,3.492,0.018,False,Johnson V,CCD,HQA,1.000,True
131,DEL CEP,000-BCQ-471,2455141.68998,3.982,0.026,False,Johnson B,CCD,HQA,1.000,True
132,DEL CEP,000-BCQ-471,2455141.68998,3.345,0.026,False,Cousins R,CCD,HQA,1.000,True
133,DEL CEP,000-BCQ-471,2455141.68998,2.922,0.028,False,Cousins I,CCD,HQA,1.000,True
134,DEL CEP,000-BCQ-471,2455141.76425,3.516,0.008,False,Johnson V,CCD,HQA,1.000,True
135,DEL CEP,000-BCQ-471,2455141.76425,3.971,0.020,False,Johnson B,CCD,HQA,1.000,True
136,DEL CEP,000-BCQ-471,2455141.76425,3.349,0.040,False,Cousins R,CCD,HQA,1.000,True
137,DEL CEP,000-BCQ-471,2455141.76425,2.914,0.058,False,Cousins I,CCD,HQA,1.000,True
138,DEL CEP,000-BCQ-471,2455141.83800,3.521,0.038,False,Johnson V,CCD,HQA,1.000,True
139,DEL CEP,000-BCQ-471,2455141.83800,3.989,0.060,False,Johnson B,CCD,HQA,1.000,True
140,DEL CEP,000-BCQ-471,2455141.83800,3.296,0.040,False,Cousins R,CCD,HQA,1.000,True
141,DEL CEP,000-BCQ-471,2455141.83800,2.898,0.066,False,Cousins I,CCD,HQA,1.000,True
142,DEL CEP,000-BCQ-471,2455144.61952,4.172,0.008,False,Johnson V,CCD,HQA,1.000,True
143,DEL CEP,000-BCQ-471,2455144.61952,4.984,0.019,False,Johnson B,CCD,HQA,1.000,True
144,DEL CEP,000-BCQ-471,2455144.61952,3.767,0.022,False,Cousins R,CCD,HQA,1.000,True
145,DEL CEP,000-BCQ-471,2455144.61952,3.274,0.035,False,Cousins I,CCD,HQA,1.000,True
146,DEL CEP,000-BCQ-471,2455144.66307,4.170,0.010,False,Johnson V,CCD,HQA,1.000,True
147,DEL CEP,000-BCQ-471,2455144.66307,4.979,0.014,False,Johnson B,CCD,HQA,1.000,True
148,DEL CEP,000-BCQ-471,2455144.66307,3.775,0.017,False,Cousins R,CCD,HQA,1.000,True
149,DEL CEP,000-BCQ-471,2455144.66307,3.275,0.021,False,Cousins I,CCD,HQA,1.000,True
150,DEL CEP,000-BCQ-471,2455144.74129,4.188,0.017,False,Johnson V,CCD,HQA,1.000,True
151,DEL CEP,000-BCQ-471,2455144.74129,3.297,0.037,False,Cousins I,CCD,HQA,1.000,True
152,DEL CEP,000-BCQ-471,2455144.74129,3.770,0.029,False,Cousins R,CCD,HQA,1.000,True
153,DEL CEP,000-BCQ-471,2455144.74129,5.053,0.032,False,Johnson B,CCD,HQA,1.000,True
154,DEL CEP,000-BCQ-471,2455144.81467,3.302,0.068,False,Cousins I,CCD,HQA,1.000,True
155,DEL CEP,000-BCQ-471,2455144.81467,3.767,0.066,False,Cousins R,CCD,HQA,1.000,True
156,DEL CEP,000-BCQ-471,2455144.81467,4.205,0.027,False,Johnson V,CCD,HQA,1.000,True
157,DEL CEP,000-BCQ-471,2455144.81467,5.040,0.050,False,Johnson B,CCD,HQA,1.000,True
158,DEL CEP,000-BCQ-471,2455145.358,4.11,0.08,False,Tri-Color Green,CCD,VOL,,False
159,DEL CEP,000-BCQ-471,2455145.62514,5.236,0.042,False,Johnson B,CCD,HQA,1.000,True
160,DEL CEP,000-BCQ-471,2455145.62514,4.347,0.008,False,Johnson V,CCD,HQA,1.000,True
161,DEL CEP,000-BCQ-471,2455145.62514,3.902,0.019,False,Cousins R,CCD,HQA,1.000,True
162,DEL CEP,000-BCQ-471,2455145.62514,3.429,0.024,False,Cousins I,CCD,HQA,1.000,True
163,DEL CEP,000-BCQ-471,2455145.67009,4.337,0.017,False,Johnson V,CCD,HQA,1.000,True
164,DEL CEP,000-BCQ-471,2455145.67009,5.243,0.030,False,Johnson B,CCD,HQA,1.000,True
165,DEL CEP,000-BCQ-471,2455145.67009,3.898,0.033,False,Cousins R,CCD,HQA,1.000,True
166,DEL CEP,000-BCQ-471,2455145.67009,3.424,0.045,False,Cousins I,CCD,HQA,1.000,True
167,DEL CEP,000-BCQ-471,2455145.74517,4.357,0.009,False,Johnson V,CCD,HQA,1.000,True
168,DEL CEP,000-BCQ-471,2455145.74517,5.188,0.029,False,Johnson B,CCD,HQA,1.000,True
169,DEL CEP,000-BCQ-471,2455145.74517,3.915,0.024,False,Cousins R,CCD,HQA,1.000,True
170,DEL CEP,000-BCQ-471,2455145.74517,3.409,0.036,False,Cousins I,CCD,HQA,1.000,True
171,DEL CEP,000-BCQ-471,2455145.81805,4.326,0.021,False,Johnson V,CCD,HQA,1.000,True
172,DEL CEP,000-BCQ-471,2455145.81805,5.196,0.022,False,Johnson B,CCD,HQA,1.000,True
173,DEL CEP,000-BCQ-471,2455145.81805,3.911,0.080,False,Cousins R,CCD,HQA,1.000,True
174,DEL CEP,000-BCQ-471,2455145.81805,3.414,0.095,False,Cousins I,CCD,HQA,1.000,True
175,DEL CEP,000-BCQ-471,2455146.63277,3.856,0.010,False,Johnson V,CCD,HQA,1.000,True
176,DEL CEP,000-BCQ-471,2455146.63277,4.498,0.016,False,Johnson B,CCD,HQA,1.000,True
177,DEL CEP,000-BCQ-471,2455146.63277,3.546,0.020,False,Cousins R,CCD,HQA,1.000,True
178,DEL CEP,000-BCQ-471,2455146.63277,3.164,0.027,False,Cousins I,CCD,HQA,1.000,True
179,DEL CEP,000-BCQ-471,2455146.68529,3.806,0.017,False,Johnson V,CCD,HQA,1.000,True
180,DEL CEP,000-BCQ-471,2455146.68529,4.392,0.021,False,Johnson B,CCD,HQA,1.000,True
181,DEL CEP,000-BCQ-471,2455146.68529,3.502,0.048,False,Cousins R,CCD,HQA,1.000,True
182,DEL CEP,000-BCQ-471,2455146.68529,3.104,0.054,False,Cousins I,CCD,HQA,1.000,True
183,DEL CEP,000-BCQ-471,2455146.71932,3.750,0.017,False,Johnson V,CCD,HQA,1.000,True
184,DEL CEP,000-BCQ-471,2455146.71932,4.327,0.042,False,Johnson B,CCD,HQA,1.000,True
185,DEL CEP,000-BCQ-471,2455146.71932,3.449,0.043,False,Cousins R,CCD,HQA,1.000,True
186,DEL CEP,000-BCQ-471,2455146.71932,3.080,0.048,False,Cousins I,CCD,HQA,1.000,True
187,DEL CEP,000-BCQ-471,2455146.80502,3.701,0.121,False,Johnson V,CCD,HQA,1.000,True
188,DEL CEP,000-BCQ-471,2455146.80502,4.331,0.153,False,Johnson B,CCD,HQA,1.000,True
189,DEL CEP,000-BCQ-471,2455146.80502,3.362,0.128,False,Cousins R,CCD,HQA,1.000,True
190,DEL CEP,000-BCQ-471,2455146.80502,3.134,0.154,False,Cousins I,CCD,HQA,1.000,True
191,DEL CEP,000-BCQ-471,2455149.317,3.92,0.11,False,Tri-Color Green,CCD,VOL,,False
192,DEL CEP,000-BCQ-471,2455151.63006,4.213,0.021,False,Johnson V,CCD,HQA,1.000,True
193,DEL CEP,000-BCQ-471,2455151.63006,4.974,0.026,False,Johnson B,CCD,HQA,1.000,True
194,DEL CEP,000-BCQ-471,2455151.63006,3.830,0.043,False,Cousins R,CCD,HQA,1.000,True
195,DEL CEP,000-BCQ-471,2455151.63006,3.370,0.051,False,Cousins I,CCD,HQA,1.000,True
196,DEL CEP,000-BCQ-471,2455151.69366,4.169,0.006,False,Johnson V,CCD,HQA,1.000,True
197,DEL CEP,000-BCQ-471,2455151.69366,4.927,0.028,False,Johnson B,CCD,HQA,1.000,True
198,DEL CEP,000-BCQ-471,2455151.69366,3.794,0.017,False,Cousins R,CCD,HQA,1.000,True
199,DEL CEP,000-BCQ-471,2455151.69366,3.338,0.029,False,Cousins I,CCD,HQA,1.000,True
200,DEL CEP,000-BCQ-471,2455151.77922,4.045,0.036,False,Johnson V,CCD,HQA,1.000,True
201,DEL CEP,000-BCQ-471,2455151.77922,4.820,0.059,False,Johnson B,CCD,HQA,1.000,True
202,DEL CEP,000-BCQ-471,2455151.77922,3.736,0.041,False,Cousins R,CCD,HQA,1.000,True
203,DEL CEP,000-BCQ-471,2455151.77922,3.306,0.043,False,Cousins I,CCD,HQA,1.000,True
204,DEL CEP,000-BCQ-471,2455152.63984,3.534,0.008,False,Johnson V,CCD,HQA,1.000,True
205,DEL CEP,000-BCQ-471,2455152.63984,4.004,0.021,False,Johnson B,CCD,HQA,1.000,True
206,DEL CEP,000-BCQ-471,2455152.63984,3.313,0.013,False,Cousins R,CCD,HQA,1.000,True
207,DEL CEP,000-BCQ-471,2455152.63984,2.924,0.021,False,Cousins I,CCD,HQA,1.000,True
208,DEL CEP,000-BCQ-471,2455153.62352,3.767,0.001,False,Johnson V,CCD,HQA,1.000,True
209,DEL CEP,000-BCQ-471,2455153.62352,3.484,0.019,False,Cousins R,CCD,HQA,1.000,True
210,DEL CEP,000-BCQ-471,2455153.62352,3.047,0.034,False,Cousins I,CCD,HQA,1.000,True
211,DEL CEP,000-BCQ-471,2455153.62352,4.441,0.030,False,Johnson B,CCD,HQA,1.000,True
212,DEL CEP,000-BCQ-471,2455153.76453,3.510,0.045,False,Cousins R,CCD,HQA,1.000,True
213,DEL CEP,000-BCQ-471,2455153.76453,4.492,0.004,False,Johnson B,CCD,HQA,1.000,True
214,DEL CEP,000-BCQ-471,2455153.76453,3.843,0.001,False,Johnson V,CCD,HQA,1.000,True
215,DEL CEP,000-BCQ-471,2455153.76453,3.103,0.050,False,Cousins I,CCD,HQA,1.000,True
216,DEL CEP,000-BCQ-471,2455154.69181,3.194,0.054,False,Cousins I,CCD,HQA,1.000,True
217,DEL CEP,000-BCQ-471,2455154.69181,3.680,0.026,False,Cousins R,CCD,HQA,1.000,True
218,DEL CEP,000-BCQ-471,2455154.69181,4.828,0.012,False,Johnson B,CCD,HQA,1.000,True
219,DEL CEP,000-BCQ-471,2455154.69181,4.055,0.006,False,Johnson V,CCD,HQA,1.000,True
220,DEL CEP,000-BCQ-471,2455155.206,3.94,0.01,False,Tri-Color Green,CCD,VOL,,False
221,DEL CEP,000-BCQ-471,2455155.59474,3.349,0.030,False,Cousins I,CCD,HQA,1.000,True
222,DEL CEP,000-BCQ-471,2455155.59474,3.785,0.011,False,Cousins R,CCD,HQA,1.000,True
223,DEL CEP,000-BCQ-471,2455155.59474,4.215,0.010,False,Johnson V,CCD,HQA,1.000,True
224,DEL CEP,000-BCQ-471,2455155.59474,5.124,0.020,False,Johnson B,CCD,HQA,1.000,True
225,DEL CEP,000-BCQ-471,2455155.70304,3.805,0.041,False,Cousins R,CCD,HQA,1.000,True
226,DEL CEP,000-BCQ-471,2455155.70304,3.355,0.041,False,Cousins I,CCD,HQA,1.000,True
227,DEL CEP,000-BCQ-471,2455155.70304,4.262,0.023,False,Johnson V,CCD,HQA,1.000,True
228,DEL CEP,000-BCQ-471,2455155.70304,5.143,0.030,False,Johnson B,CCD,HQA,1.000,True
229,DEL CEP,000-BCQ-471,2455156.62897,4.320,0.016,False,Johnson V,CCD,HQA,1.000,True
230,DEL CEP,000-BCQ-471,2455156.62897,3.953,0.032,False,Cousins R,CCD,HQA,1.000,True
231,DEL CEP,000-BCQ-471,2455156.62897,5.185,0.021,False,Johnson B,CCD,HQA,1.000,True
232,DEL CEP,000-BCQ-471,2455156.62897,3.435,0.036,False,Cousins I,CCD,HQA,1.000,True
233,DEL CEP,000-BCQ-471,2455156.77268,4.330,0.030,False,Johnson V,CCD,HQA,1.000,True
234,DEL CEP,000-BCQ-471,2455156.77268,3.390,0.145,False,Cousins I,CCD,HQA,1.000,True
235,DEL CEP,000-BCQ-471,2455156.77268,3.934,0.092,False,Cousins R,CCD,HQA,1.000,True
236,DEL CEP,000-BCQ-471,2455156.77268,5.143,0.036,False,Johnson B,CCD,HQA,1.000,True
237,DEL CEP,000-BCQ-471,2455161.317,4.06,0.02,False,Tri-Color Green,CCD,VOL,,False
238,DEL CEP,000-BCQ-471,2455162.315,4.09,0.03,False,Tri-Color Green,CCD,VOL,,False
239,DEL CEP,000-BCQ-471,2455163.200,3.23,0.02,False,Tri-Color Green,CCD,VOL,,False
240,DEL CEP,000-BCQ-471,2455164.215,3.50,0.01,False,Tri-Color Green,CCD,VOL,,False
241,DEL CEP,000-BCQ-471,2455168.194,3.52,0.02,False,Tri-Color Green,CCD,VOL,,False
242,DEL CEP,000-BCQ-471,2455171.349,4.01,0.02,False,Tri-Color Green,CCD,VOL,,False
243,DEL CEP,000-BCQ-471,2455180.215,3.51,0.02,False,Tri-Color Green,CCD,VOL,,False
244,DEL CEP,000-BCQ-471,2455186.195,3.66,0.02,False,Tri-Color Green,CCD,VOL,,False
245,DEL CEP,000-BCQ-471,2455204.198,4.12,0.05,False,Tri-Color Green,CCD,VOL,,False
246,DEL CEP,000-BCQ-471,2455474.644925,3.447,0.016,False,Johnson V,CCD,PSEB,1.043,False
247,DEL CEP,000-BCQ-471,2455483.582238,4.176,0.029,False,Johnson V,CCD,PSEB,1.086,True
248,DEL CEP,000-BCQ-471,2455497.520321,3.788,0.007,False,Johnson V,CCD,PSEB,1.126,True
